gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
C3orf14,2709.33,3127.67,5837.00,2,1.05549e-05,0.000123769
UBE2W,2298.00,3540.33,5838.33,2,8.52967e-06,0.000111185
IKBKAP,3113.67,2726.33,5840.00,2,1.00786e-05,0.000134619
MYCBP2,3853.00,1987.00,5840.00,2,3.27645e-06,0.000283489
FCRLB,3293.67,2547.00,5840.67,2,5.90007e-06,0.000224565
NINL,2617.00,3225.33,5842.33,3,8.68939e-06,0.000121365
MOB1B,3223.00,2620.00,5843.00,2,4.89542e-06,0.000160401
HOPX,2974.33,2869.00,5843.33,2,1.72075e-05,0.000100036
BIRC2,3218.00,2625.67,5843.67,2,4.56798e-06,0.000154277
ZBTB34,2643.00,3200.67,5843.67,2,1.21418e-05,0.000100104
MLLT3,2740.00,3104.00,5844.00,3,6.53656e-06,0.000113859
EDNRA,3647.67,2196.67,5844.33,3,3.62988e-06,0.000119345
RP11-642D21.1,3050.67,2793.67,5844.33,2,1.94438e-05,0.000100245
GABRP,3304.00,2540.33,5844.33,3,4.29806e-06,0.000114681
SPIN1,2795.00,3051.00,5846.00,2,5.63343e-06,0.00012836
PIAS3,2730.33,3116.00,5846.33,2,1.23737e-05,0.000100051
PCDHB10,2089.00,3757.33,5846.33,3,6.2024e-06,0.000115708
DSERG1,2548.67,3298.33,5847.00,2,1.25931e-05,0.000100006
MAGI3,3179.33,2667.67,5847.00,2,6.23727e-06,0.000137343
SOCS6,2991.67,2855.33,5847.00,2,0.000293318,0.00853751
FAM216A,2884.67,2963.00,5847.67,2,4.8129e-06,0.000167197
PGAP3,2478.33,3369.67,5848.00,2,9.55309e-06,0.000122498
FST,2516.33,3334.00,5850.33,2,1.58408e-05,0.000126852
CIDEC,3373.33,2478.67,5852.00,2,8.12707e-06,0.000146324
KDSR,2432.67,3419.33,5852.00,2,9.41196e-06,0.000113955
ARG2,2802.33,3050.00,5852.33,2,5.89136e-06,0.000155554
SERPINA6,3298.67,2554.00,5852.67,2,4.0045e-06,0.000147488
CXCL1,3877.33,1976.67,5854.00,3,1.36282e-06,0.000123228
TMTC3,2981.33,2875.33,5856.67,2,5.59504e-06,0.000138295
MYO5A,2585.00,3272.33,5857.33,2,6.64792e-06,0.000124191
S100PBP,3371.67,2487.67,5859.33,2,1.92744e-05,0.000100111
FAM72A,2306.67,3554.00,5860.67,2,1.12746e-05,0.000120089
SYNE1,3332.33,2528.67,5861.00,2,1.62636e-05,0.000100576
UBR7,2618.67,3242.33,5861.00,2,1.26774e-05,9.99995e-05
AMPH,1802.00,4061.33,5863.33,3,1.32222e-05,0.000109977
KLF2,2772.00,3092.00,5864.00,2,1.18846e-05,0.000134586
MXRA8,2297.67,3567.33,5865.00,3,4.99018e-06,0.000109115
LTN1,2882.00,2985.00,5867.00,2,9.15651e-06,0.000126983
SEMA6A,3229.00,2638.67,5867.67,2,6.34053e-06,0.000151746
CDCA7,2650.33,3218.33,5868.67,2,7.67079e-06,0.000142442
BTN3A3,3460.67,2411.33,5872.00,2,3.54343e-06,0.000161083
ACACB,2607.33,3265.33,5872.67,2,1.38305e-05,0.000127823
CCL28,3668.33,2207.00,5875.33,2,5.49984e-06,0.00016869
PRC1,3191.00,2685.00,5876.00,2,8.17566e-06,0.000144802
AX747652,3402.00,2475.00,5877.00,2,4.72924e-06,0.000161901
GIMAP1-GIMAP5,2445.00,3432.67,5877.67,2,1.47276e-05,9.99836e-05
RBMS1,3274.67,2603.33,5878.00,2,4.46416e-06,0.000187875
KBTBD8,2587.67,3291.67,5879.33,2,1.24236e-05,0.000100045
TMEM182,3429.00,2451.00,5880.00,2,6.95211e-06,0.000100077
SH3BP5,2612.33,3268.67,5881.00,2,9.77193e-06,0.000120556
C1QTNF3,2743.33,3138.00,5881.33,2,6.08207e-06,0.000133174
FAM63B,3207.33,2675.00,5882.33,2,5.43495e-06,0.000164164
ZNF611,3262.33,2620.33,5882.67,2,1.41584e-05,0.000136805
TMEM65,2921.00,2962.00,5883.00,2,5.10674e-06,0.000138711
ACTG2,3847.67,2036.00,5883.67,2,3.44618e-06,0.000201203
